CONTIN,SIGLA,DENOMINAZ,CODICE,DATAIST,DATASOP,CODRIF,DATAVARIAZ
1,,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,,,Z152,
1,*,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,12/16/91,31/03/1992,Z154,31/03/1992
1,*,GEORGIA,Z136,9/9/91,01/01/1994,Z254,01/01/1994
1,*,ARMENIA,Z137,9/23/91,01/01/1994,Z252,01/01/1994
1,*,UCRAINA,Z138,8/24/91,,,
1,*,BIELORUSSIA=RUSSIA BIANCA,Z139,8/25/91,,,
1,*,MOLDAVIA,Z140,8/27/91,,,
1,*,AZERBAIGIAN,Z141,8/30/91,01/01/1994,Z253,01/01/1994
1,*,KIRGHIZISTAN,Z142,8/31/91,01/01/1994,Z256,01/01/1994
1,*,UZBEKISTAN,Z143,8/31/91,01/01/1994,Z259,01/01/1994
1,*,ESTONIA,Z144,9/6/91,,,
1,*,LETTONIA,Z145,9/6/91,,,
1,*,LITUANIA,Z146,9/6/91,,,
1,*,TAGIKISTAN,Z147,9/9/91,01/01/1994,Z257,01/01/1994
1,*,MACEDONIA,Z148,9/15/91,,,
1,*,CROAZIA,Z149,10/8/91,,,
1,*,SLOVENIA,Z150,10/8/91,,,
1,*,TURKEMENISTAN,Z151,10/29/91,01/01/1994,Z258,01/01/1994
1,*,KAZAKISTAN,Z152,12/16/91,01/01/1994,Z255,01/01/1994
1,*,BOSNIA ED ERZEGOVINA,Z153,3/3/92,,,
1,*,RUSSIA=FEDERAZIONE RUSSA,Z154,3/31/92,,,
1,*,SLOVACCHIA,Z155,1/1/93,,,
1,*,CECA REPUBBLICA,Z156,1/1/93,,,
1,*,SERBIA E MONTENEGRO,Z157,2/4/03,02/06/2006,Z158,
1,,SERBIA,Z158,6/3/06,,Z157,
1,,MONTENEGRO,Z159,6/3/06,,Z157,
1,*,KOSSOVO,Z160,2/21/08,,,
1,,TERRITORI PALESTINESI,Z161,8/21/08,,,
2,*,AFGHANISTAN,Z200,1/1/65,,,
2,*,ARABIA MERIDIONALE FEDERAZIONE,Z201,1/1/65,31/12/1975,Z250,30/11/1967
2,GB,ARABIA MERIDIONALE PROTETTORATO,Z202,1/1/65,31/12/1975,Z250,30/11/1967
2,*,ARABIA SAUDITA,Z203,1/1/65,,,
2,GB,BAHREIN,Z204,1/1/65,31/12/1975,Z204,14/08/1971
2,*,BAHREIN,Z204,12/31/75,,,
2,*,BHUTAN,Z205,12/31/75,,,
2,*,BIRMANIA,Z206,1/1/65,,,
2,GB,BRUNEI,Z207,1/1/65,31/12/1984,Z207,01/01/1984
2,*,BRUNEI,Z207,12/31/84,,,
2,*,CAMBOGIA,Z208,1/1/65,,,
2,*,SRI LANKA,Z209,12/31/75,,,
2,*,CEYLON,Z209,1/1/65,31/12/1975,Z209,22/05/1972
2,*,CINA REPUBBLICA POPOLARE,Z210,1/1/65,,,
2,*,CIPRO,Z211,1/1/65,,,
2,AUS,COCOS (ISOLE),Z212,1/1/65,,,
2,*,COREA DEL SUD,Z213,1/1/65,,,
2,*,COREA DEL NORD,Z214,1/1/65,,,
2,GB,COSTA DEI PIRATI=TRUCIAL STATES,Z215,1/1/65,31/12/1975,Z215,02/12/1971
2,*,EMIRATI ARABI UNITI,Z215,12/31/75,,,
2,*,FILIPPINE,Z216,1/1/65,,,
2,*,REPUBBLICA DELLA CINA NAZIONALE=TAIWAN,Z217,12/31/75,,,
2,*,FORMOSA=TAIWAN,Z217,1/1/65,31/12/1975,Z217,31/12/1975
2,ET,GAZA (TERRITORIO DI),Z218,1/1/65,,,
2,*,GIAPPONE,Z219,1/1/65,,,
2,*,GIORDANIA,Z220,1/1/65,,,
2,GB,HONG KONG,Z221,1/1/65,01/07/1997,Z210,01/07/1997
2,*,INDIA,Z222,1/1/65,,,
2,*,INDONESIA,Z223,1/1/65,,,
2,*,IRAN,Z224,1/1/65,,,
2,*,IRAQ,Z225,1/1/65,,,
2,*,ISRAELE,Z226,1/1/65,,,
2,*,KUWAIT,Z227,1/1/65,,,
2,*,LAOS,Z228,1/1/65,,,
2,*,LIBANO,Z229,1/1/65,,,
2,*,MALAYSIA,Z230,1/1/65,01/10/1966,Z247,09/08/1965
2,,MALAYSIA,Z230,,,Z248,09/08/1975
2,P,MACAO,Z231,1/1/65,,,
2,*,MALDIVE,Z232,1/1/65,,,
2,*,MONGOLIA,Z233,1/1/65,,,
2,*,NEPAL,Z234,1/1/65,,,
2,*,OMAN,Z235,1/1/65,,,
2,*,PAKISTAN,Z236,1/1/65,,,
2,GB,QATAR,Z237,1/1/65,31/12/1975,Z237,03/09/1971
2,*,QATAR,Z237,12/31/75,,,
2,USA,RYUKYU (ISOLE),Z238,1/1/65,31/12/1975,Z219,22/05/1972
2,*,SIKKIM,Z239,1/1/65,31/12/1975,Z222,28/06/1974
2,*,SIRIA,Z240,1/1/65,,,
2,*,THAILANDIA,Z241,1/1/65,,,
2,P,TIMOR (ISOLA),Z242,1/1/65,31/12/1978,Z223,01/06/1976
2,*,TURCHIA,Z243,1/1/65,,,
2,*,VIETNAM DEL SUD,Z244,1/1/65,31/12/1977,Z251,25/04/1976
2,*,VIETNAM DEL NORD,Z245,1/1/65,31/12/1977,Z251,25/04/1976
2,*,YEMEN,Z246,1/1/65,,,
2,*,MALAYSIA,Z247,10/1/66,,,
2,*,SINGAPORE,Z248,10/1/66,,,
2,*,BANGLADESH,Z249,12/31/75,,,
2,*,YEMEN REPUBBLICA DEMOCRATICA POPOLARE,Z250,12/31/75,22/05/1990,Z246,22/05/1990
2,*,VIETNAM,Z251,12/31/77,,,
2,*,ARMENIA,Z252,1/1/94,,,
2,*,AZERBAIGIAN,Z253,1/1/94,,,
2,*,GEORGIA,Z254,1/1/94,,,
2,*,KAZAKISTAN,Z255,1/1/94,,,
2,*,KIRGHIZISTAN,Z256,1/1/94,,,
2,*,TAGIKISTAN,Z257,1/1/94,,,
2,*,TURKEMENISTAN,Z258,1/1/94,,,
2,*,UZBEKISTAN,Z259,1/1/94,,,
3,ZA,AFRICA DEL SUD-OVEST,Z300,1/1/65,31/12/1975,Z300,31/12/1975
3,ZA,NAMIBIA=AFRICA DEL SUD OVEST,Z300,12/31/75,31/12/1978,Z300,21/03/1990
3,*,NAMIBIA,Z300,12/31/78,,,
3,*,ALGERIA,Z301,1/1/65,,,
3,P,ANGOLA,Z302,1/1/65,31/12/1977,Z302,11/11/1975
3,*,ANGOLA,Z302,12/31/77,,,
3,GB,BASUTOLAND-SUD AFRICA BRITANNICO,Z303,1/1/65,01/10/1966,Z359,04/10/1966
3,GB,BECIUANIA-SUD AFRICA BRITANNICO,Z304,1/1/65,01/10/1966,Z358,30/09/1966
3,*,BURUNDI,Z305,1/1/65,,,
3,*,CAMERUN,Z306,1/1/65,,,
3,*,CAPO VERDE,Z307,12/31/75,,,
3,P,CAPO VERDE (ISOLE),Z307,1/1/65,31/12/1975,Z307,05/07/1975
3,*,CENTRAFRICANA REPUBBLICA,Z308,12/31/80,,,
3,*,CENTROAFRICANA REPUBBLICA,Z308,1/1/65,31/12/1977,Z308,04/12/1976
3,*,CENTROAFRICANO IMPERO,Z308,12/31/77,31/12/1980,Z308,20/09/1979
3,*,CIAD,Z309,1/1/65,,,
3,F,COMORE (ISOLE),Z310,1/1/65,31/12/1975,Z310,06/07/1975
3,*,COMORE (ISOLE),Z310,12/31/75,31/12/1977,Z310,03/08/1975
3,,COMORE (ISOLE),Z310,,,Z360,
3,*,COMORE,Z310,12/31/77,,,
3,*,CONGO REPUBBLICA POPOLARE,Z311,12/31/75,,,
3,*,CONGO BRAZZAVILLE,Z311,1/1/65,31/12/1975,Z311,03/01/1970
3,*,CONGO REPUBBLICA DEMOCRATICA,Z312,5/17/97,,,
3,*,ZAIRE,Z312,12/31/75,17/05/1997,Z312,17/05/1997
3,*,CONGO LEOPOLDVILLE,Z312,1/1/65,31/12/1975,Z312,30/10/1972
3,*,COSTA D'AVORIO,Z313,1/1/65,,,
3,*,DAHOMEY=BENIN,Z314,1/1/65,31/12/1975,Z314,30/11/1975
3,*,BENIN,Z314,12/31/75,,,
3,*,ETIOPIA,Z315,1/1/65,24/05/1993,Z315,24/05/1993
3,,ETIOPIA,Z315,,,Z368,
3,*,ETIOPIA,Z315,5/24/93,,,
3,*,GABON,Z316,1/1/65,,,
3,*,GAMBIA,Z317,1/1/65,,,
3,*,GHANA,Z318,1/1/65,,,
3,*,GUINEA,Z319,1/1/65,,,
3,P,GUINEA PORTOGHESE,Z320,1/1/65,31/12/1975,Z320,24/09/1973
3,*,GUINEA BISSAU,Z320,12/31/75,,,
3,E,GUINEA SPAGNOLA,Z321,1/1/65,31/12/1975,Z321,12/10/1968
3,*,GUINEA EQUATORIALE,Z321,12/31/75,,,
3,*,KENYA,Z322,1/1/65,,,
3,E,IFNI,Z323,1/1/65,31/12/1975,Z323,04/01/1969
3,MA,IFNI,Z323,12/31/75,31/12/1984,Z330,04/01/1969
3,F,LA REUNION (ISOLA),Z324,1/1/65,,,
3,*,LIBERIA,Z325,1/1/65,,,
3,*,LIBIA,Z326,1/1/65,,,
3,*,MADAGASCAR,Z327,1/1/65,,,
3,*,MALAWI,Z328,1/1/65,,,
3,*,MALI,Z329,1/1/65,,,
3,*,MAROCCO,Z330,1/1/65,,,
3,*,MAURITANIA,Z331,1/1/65,,,
3,GB,MAURIZIO (ISOLE),Z332,1/1/65,31/12/1975,Z332,12/03/1968
3,*,MAURIZIO,Z332,12/31/75,,,
3,*,MOZAMBICO,Z333,12/31/75,,,
3,P,MOZAMBICO,Z333,1/1/65,31/12/1975,Z333,25/06/1975
3,*,NIGER,Z334,1/1/65,,,
3,*,NIGERIA,Z335,1/1/65,,,
3,*,EGITTO,Z336,1/1/65,,,
3,*,RHODESIA,Z337,1/1/65,31/12/1980,Z337,18/04/1980
3,*,ZIMBABWE,Z337,12/31/80,,,
3,*,RUANDA,Z338,1/1/65,,,
3,,SAHARA SPAGNOLO,Z339,,,Z363,
3,E,SAHARA SPAGNOLO,Z339,1/1/65,31/12/1977,Z362,01/01/1976
3,GB,SANT'ELENA (ISOLA),Z340,1/1/65,,,
3,*,SAO TOME' E PRINCIPE,Z341,12/31/75,,,
3,P,SAO TOME' E PRINCIPE (ISOLE),Z341,1/1/65,31/12/1975,Z341,01/01/1975
3,*,SEICELLE,Z342,12/31/77,,,
3,,SEICELLE (ISOLE),Z342,,,Z360,
3,GB,SEICELLE (ISOLE),Z342,1/1/65,31/12/1977,Z342,28/06/1976
3,*,SENEGAL,Z343,1/1/65,,,
3,*,SIERRA LEONE,Z344,1/1/65,,,
3,*,SOMALIA,Z345,1/1/65,,,
3,F,TERRITORIO FRANCESE DEGLI AFAR E DEGLI ISSA,Z346,12/31/75,31/12/1977,Z361,27/06/1977
3,F,SOMALIA FRANCESE,Z346,1/1/65,31/12/1975,Z346,31/12/1975
3,,SUDAFRICANA REPUBBLICA,Z347,,,Z367,
3,*,SUDAFRICANA REPUBBLICA,Z347,12/31/80,31/12/1984,Z347,31/12/1984
3,,SUDAFRICANA REPUBBLICA,Z347,,,Z366,
3,*,SUDAFRICANA REPUBBLICA,Z347,12/31/78,31/12/1980,Z347,31/12/1980
3,*,SUDAFRICANA REPUBBLICA,Z347,12/31/84,,,
3,,SUDAFRICANA REPUBBLICA,Z347,,,Z365,
3,,SUDAFRICANA REPUBBLICA,Z347,,,Z364,
3,*,SUDAFRICANA REPUBBLICA,Z347,1/1/65,31/12/1978,Z347,31/12/1978
3,*,SUDAN,Z348,1/1/65,,,
3,*,SWAZILAND,Z349,12/31/75,,,
3,GB,SWAZILAND-SUDAFRICA BRITANNICO,Z349,1/1/65,31/12/1975,Z349,06/09/1968
3,*,TANGANICA,Z350,1/1/65,01/10/1966,Z357,25/04/1964
3,*,TOGO,Z351,1/1/65,,,
3,*,TUNISIA,Z352,1/1/65,,,
3,*,UGANDA,Z353,1/1/65,,,
3,*,BURKINA,Z354,12/31/84,,,
3,*,VOLTA=ALTOVOLTA,Z354,1/1/65,31/12/1984,Z354,04/08/1984
3,*,ZAMBIA,Z355,1/1/65,,,
3,*,ZANZIBAR,Z356,1/1/65,01/10/1966,Z357,25/04/1964
3,*,TANZANIA,Z357,10/1/66,,,
3,*,BOTSWANA,Z358,10/1/66,,,
3,*,LESOTHO,Z359,10/1/66,,,
3,F,MAYOTTE (ISOLA),Z360,12/31/77,,,
3,*,GIBUTI,Z361,12/31/77,,,
3,RIM,SAHARA MERIDIONALE,Z362,12/31/77,31/12/1984,Z330,01/01/1976
3,MA,SAHARA SETTENTRIONALE,Z363,12/31/77,31/12/1984,Z330,01/01/1976
3,*,BOPHUTHATSWANA,Z364,12/31/78,01/01/1994,Z347,01/01/1994
3,*,TRANSKEI,Z365,12/31/78,01/01/1994,Z347,01/01/1994
3,*,VENDA,Z366,12/31/80,01/01/1994,Z347,01/01/1994
3,*,CISKEI,Z367,12/31/84,01/01/1994,Z347,01/01/1994
3,*,ERITREA,Z368,5/24/93,,,
3,,NYASALAND,Z369,1/1/07,05/07/1964,Z328,
3,*,CONGO BELGA,Z370,1/1/08,01/01/1960,,
4,GB,BERMUDA (ISOLE),Z400,1/1/65,,,
4,*,CANADA,Z401,1/1/65,,,
4,DK,GROENLANDIA,Z402,1/1/65,,,
4,F,SAINT PIERRE ET MIQUELON (ISOLE),Z403,1/1/65,,,
4,*,STATI UNITI D'AMERICA,Z404,1/1/65,,,
5,,ANTILLE BRITANNICHE,Z500,,,Z522,30/11/1966
5,GB,ANTILLE BRITANNICHE,Z500,1/1/65,31/12/1975,Z521,30/11/1966
5,NL,ANTILLE OLANDESI,Z501,1/1/65,,,
5,GB,BAHAMA (ISOLE),Z502,1/1/65,31/12/1975,Z502,10/07/1973
5,*,BAHAMA,Z502,12/31/75,,,
5,*,COSTA RICA,Z503,1/1/65,,,
5,*,CUBA,Z504,1/1/65,,,
5,*,DOMINICANA REPUBBLICA,Z505,1/1/65,,,
5,*,EL SALVADOR,Z506,1/1/65,,,
5,*,GIAMAICA,Z507,1/1/65,,,
5,F,GUADALUPA,Z508,1/1/65,,,
5,*,GUATEMALA,Z509,1/1/65,,,
5,*,HAITI,Z510,1/1/65,,,
5,*,HONDURAS,Z511,1/1/65,,,
5,GB,HONDURAS BRITANNICO,Z512,1/1/65,31/12/1975,Z512,31/12/1975
5,*,BELIZE,Z512,12/31/84,,,
5,GB,BELIZE,Z512,12/31/75,31/12/1984,Z512,21/09/1981
5,F,MARTINICA,Z513,1/1/65,,,
5,*,MESSICO,Z514,1/1/65,,,
5,*,NICARAGUA,Z515,1/1/65,,,
5,*,PANAMA',Z516,1/1/65,,,
5,USA,PANAMA ZONA DEL CANALE,Z517,1/1/65,31/12/1980,Z517,07/09/1977
5,PA,PANAMA ZONA DEL CANALE,Z517,12/31/80,,,
5,USA,PUERTO RICO,Z518,1/1/65,,,
5,GB,TURKS E CAICOS (ISOLE),Z519,1/1/65,,,
5,USA,VERGINI AMERICANE (ISOLE),Z520,1/1/65,,,
5,GB,ANTILLE BRITANNICHE,Z521,12/31/75,31/12/1977,Z523,07/02/1974
5,,ANTILLE BRITANNICHE,Z521,,,Z524,07/02/1974
5,*,BARBADOS,Z522,12/31/75,,,
5,,ANTILLE BRITANNICHE,Z523,,,Z533,19/09/1983
5,GB,ANTILLE BRITANNICHE,Z523,12/31/80,31/12/1984,Z532,01/11/1981
5,,ANTILLE BRITANNICHE,Z523,,,Z531,01/01/1967
5,,ANTILLE BRITANNICHE,Z523,,,Z530,06/08/1962
5,,ANTILLE BRITANNICHE,Z523,,,Z529,10/02/1976
5,GB,ANTILLE BRITANNICHE,Z523,12/31/77,31/12/1980,Z523,22/02/1979
5,,ANTILLE BRITANNICHE,Z523,,,Z526,03/11/1978
5,,ANTILLE BRITANNICHE,Z523,,,Z527,22/02/1979
5,,ANTILLE BRITANNICHE,Z523,,,Z528,27/10/1979
5,*,GRENADA,Z524,12/31/77,,,
5,GB,VERGINI BRITANNICHE (ISOLE),Z525,12/31/78,,,
5,*,DOMINICA,Z526,12/31/80,,,
5,*,SAINT LUCIA,Z527,12/31/80,,,
5,*,SAINT VINCENT E GRENADINE,Z528,12/31/80,,,
5,GB,ANGUILLA (ISOLA),Z529,12/31/80,,,
5,GB,CAYMAN (ISOLE),Z530,12/31/80,,,
5,GB,MONTSERRAT,Z531,12/31/80,,,
5,*,ANTIGUA E BARBUDA,Z532,12/31/84,,,
5,*,SAINT KITTS E NEVIS=SAINT CHRISTOPHER E NEVIS,Z533,12/31/84,,,
6,*,ARGENTINA,Z600,1/1/65,,,
6,*,BOLIVIA,Z601,1/1/65,,,
6,*,BRASILE,Z602,1/1/65,,,
6,*,CILE,Z603,1/1/65,,,
6,*,COLOMBIA,Z604,1/1/65,,,
6,*,ECUADOR,Z605,1/1/65,,,
6,GB,GUYANA BRITANNICA,Z606,1/1/65,31/12/1975,Z606,26/05/1966
6,*,GUYANA,Z606,12/31/75,,,
6,F,GUAYANA=GUIANA FRANCESE,Z607,1/1/65,,,
6,NL,GUAYANA OLANDESE,Z608,1/1/65,31/12/1975,Z608,26/11/1975
6,*,SURINAME,Z608,12/31/75,,,
6,GB,MALVINE=FALKLAND (ISOLE),Z609,1/1/65,,,
6,*,PARAGUAY,Z610,1/1/65,,,
6,*,PERU',Z611,1/1/65,,,
6,*,TRINIDAD E TOBAGO,Z612,1/1/65,,,
6,*,URUGUAY,Z613,1/1/65,,,
6,*,VENEZUELA,Z614,1/1/65,,,
7,*,AUSTRALIA,Z700,1/1/65,,,
7,USA,CAROLINE (ISOLE)=STATI FEDERATI DI MICRONESIA,Z701,12/31/84,22/12/1990,Z735,22/10/1990
7,,CAROLINE (ISOLE),Z701,,,Z734,21/06/1983
7,USA,CAROLINE (ISOLE),Z701,1/1/65,31/12/1984,Z701,21/06/1983
7,AUS,CHRISTMAS (ISOLA),Z702,1/1/65,,,
7,NZ,COOK (ISOLE),Z703,1/1/65,,,
7,*,FIGI=VITI,Z704,12/31/75,,,
7,GB,FIGI=VITI (ISOLE),Z704,1/1/65,31/12/1975,Z704,10/10/1970
7,,GILBERT E ELLICE (ISOLE),Z705,,,Z732,01/10/1978
7,GB,GILBERT E ELLICE (ISOLE),Z705,1/1/65,31/12/1980,Z731,12/07/1979
7,USA,GUAM (ISOLA),Z706,1/1/65,,,
7,RI,IRIAN OCCIDENTALE,Z707,1/1/65,,,
7,AUS,MACQUARIE (ISOLE),Z708,1/1/65,,,
7,USA,MARCUS (ISOLE),Z709,1/1/65,31/12/1975,Z219,01/01/1968
7,USA,MARIANNE (ISOLE),Z710,1/1/65,,,
7,USA,MARSHALL (ISOLE),Z711,1/1/65,22/12/1990,Z711,22/12/1990
7,*,MARSHALL,Z711,12/22/90,,,
7,USA,MIDWAY (ISOLE),Z712,1/1/65,,,
7,*,NAURU,Z713,12/31/75,,,
7,AUS,NAURU (ISOLE),Z713,1/1/65,31/12/1975,Z713,31/01/1968
7,NZ,NIUE=SAVAGE (ISOLE),Z714,1/1/65,,,
7,AUS,NORFOLK (ISOLE E ISOLE DEL MAR DEI CORALLI),Z715,1/1/65,,,
7,F,NUOVA CALEDONIA (ISOLE E DIPENDENZE),Z716,1/1/65,,,
7,GB-F,NUOVE EBRIDI (ISOLE CONDOMINIO FRANCO-INGLESE),Z717,1/1/65,31/12/1980,Z733,30/07/1980
7,AUS,NUOVA GUINEA,Z718,1/1/65,31/12/1975,Z730,16/09/1975
7,*,NUOVA ZELANDA,Z719,1/1/65,,,
7,AUS,PAPUASIA,Z720,1/1/65,31/12/1975,Z730,16/09/1975
7,RCH,ISOLE CILENE (PASQUA E SALA Y GOMEZ),Z721,12/31/84,,,
7,RCH,PASQUA (ISOLA),Z721,1/1/65,31/12/1984,Z721,31/12/1984
7,GB,PITCAIRN (E DIPENDENZE),Z722,1/1/65,,,
7,F,POLINESIA FRANCESE (ISOLE),Z723,1/1/65,,,
7,*,SALOMONE,Z724,12/31/78,,,
7,GB,SALOMONE (ISOLE),Z724,1/1/65,31/12/1978,Z724,07/07/1978
7,USA,SAMOA AMERICANE (ISOLE),Z725,1/1/65,,,
7,*,SAMOA,Z726,1/1/65,,,
7,NZ,TOKELAU=ISOLE DELL'UNIONE,Z727,1/1/65,,,
7,GB,TONGA=DEGLI AMICI (ISOLE),Z728,1/1/65,31/12/1975,Z728,04/06/1970
7,*,TONGA=ISOLE DEGLI AMICI,Z728,12/31/75,,,
7,F,WALLIS E FUTUNA (ISOLE),Z729,1/1/65,,,
7,*,PAPUA NUOVA GUINEA,Z730,12/31/75,,,
7,*,KIRIBATI,Z731,12/31/80,,,
7,*,TUVALU,Z732,12/31/80,,,
7,*,VANUATU,Z733,12/31/80,,,
7,*,PALAU,Z734,1/1/97,,,
7,USA,PALAU REPUBBLICA,Z734,12/31/84,01/01/1997,Z734,01/10/1994
7,*,MICRONESIA STATI FEDERATI,Z735,12/22/90,,,
8,,DIPENDENZE CANADESI,Z800,1/1/65,,,
8,,DIPENDENZE NORVEGESI ARTICHE,Z801,1/1/65,,,
8,,DIPENDENZE SOVIETICHE,Z802,1/1/65,31/03/1992,Z802,31/03/1992
8,,DIPENDENZE RUSSE,Z802,3/31/92,,,
9,,DIPENDENZE AUSTRALIANE,Z900,1/1/65,,,
9,,DIPENDENZE BRITANNICHE,Z901,1/1/65,,,
9,,DIPENDENZE FRANCESI,Z902,1/1/65,,,
9,,DIPENDENZE NEOZELANDESI,Z903,1/1/65,,,
9,,DIPENDENZE NORVEGESI ANTARTICHE,Z904,1/1/65,,,
9,,DIPENDENZE STATUNITENSI,Z905,1/1/65,,,
9,,DIPENDENZE SUDAFRICANE,Z906,1/1/65,,,
,,SUD SUDAN,Z907,7/10/11,,,
